,直營店,加盟店,縣市,地區,店鋪名稱,店鋪號,服務編號,地址,電話-1,電話-2
全家京石店,,O,臺北市,南港區,京石,023221,63221,臺北市南港區經貿二路235巷38號1樓,02-,02-27831176
全家大聯大店,,O,臺北市,南港區,大聯大,020316,60111,臺北市南港區經貿二路191號一樓,02-77301135,02-26510364
全家港福店,,O,臺北市,南港區,港福,022627,16553,臺北市南港區福德街373巷63號1樓,02-77095397,02-26543532
全家中視店,,O,臺北市,南港區,中視,022011,11489,臺北市南港區興南街39號1樓,02-77230611,02-27864176
全家興華店,,O,臺北市,南港區,興華,022680,11826,臺北市南港區興華路86號,02-77230612,02-27834076
全家國興店,,O,臺北市,南港區,國興,015973,14434,臺北市南港區舊莊街一段3巷3弄2號,02-77230616,02-27832665
全家新莊研店,,O,臺北市,南港區,新莊研,020368,54856,臺北市南港區舊莊街一段169號,02-77292131,02-27853487
全家胡適店,,O,臺北市,南港區,胡適,021880,50358,臺北市南港區舊莊街一段3巷16號,02-77230615,02-27888455
全家舊莊店,,O,臺北市,南港區,舊莊,024003,64003,臺北市南港區舊莊街一段88號一樓,02-,02-26548106
全家試院店,,O,臺北市,文山區,試院,021400,12966,臺北市文山區木柵路一段91號93號一樓,02-77095388,02-22369520
全家木興店,,O,臺北市,文山區,木興,019527,14507,臺北市文山區木柵路2段52號,02-77095383,02-22348419
全家明興店,,O,臺北市,文山區,明興,016837,16279,臺北市文山區木柵路2段109巷25弄2號.2-1號,02-77095532,02-86618412
全家木柵路店,,O,臺北市,文山區,木柵路,022826,10013,臺北市文山區木柵路三段148號150號,02-77096562,02-29362952
全家欣榮店,,O,臺北市,文山區,欣榮,024112,52904,臺北市文山區木新路三段93號,02-77134250,02-22343591
全家鑫木新店,,O,臺北市,文山區,鑫木新,022996,62612,臺北市文山區木新路三段343號1樓,02-,02-29388551
全家仙岩店,,O,臺北市,文山區,仙岩,024010,10582,臺北市文山區仙岩路2號,02-77096567,02-86631305
全家師美店,,O,臺北市,文山區,師美,023725,14502,臺北市文山區汀州路4段77號,02-77096568,02-29322856
全家順輝店,,O,臺北市,文山區,順輝,015729,14381,臺北市文山區光輝路7號,02-77096569,02-29388216
全家興昌店,,O,臺北市,文山區,興昌,015086,14172,臺北市文山區辛亥路4段101巷1號,02-77096570,02-29357810
全家名門店,,O,臺北市,文山區,名門,017175,10480,臺北市文山區和平東路四段95、97號1樓,02-77096572,02-22301700
全家大順店,,O,臺北市,文山區,大順,017245,57245,臺北市文山區忠順街一段131號,02-77305002,02-22344799
全家鑫順店,,O,臺北市,文山區,鑫順,021029,51921,臺北市文山區忠順街二段16號、18號,02-77230115,02-29370174
全家保儀店,,O,臺北市,文山區,保儀,019246,59246,臺北市文山區保儀路78號、80號,02-77287073,02-29371061
全家恆光店,,O,臺北市,文山區,恆光,020498,60498,臺北市文山區恆光街21號1樓,02-77286612,02-29375738
全家興政店,,O,臺北市,文山區,興政,016836,52233,臺北市文山區指南路二段83號壹+貳樓,02-77179060,02-86619335
全家政富店,,O,臺北市,文山區,政富,017249,57249,臺北市文山區指南路二段145號1樓,02-77305374,02-86613075
全家指南店,,O,臺北市,文山區,指南,020586,60586,臺北市文山區指南路三段51號1樓及2樓,02-77230857,02-29376465
全家景中店,,O,臺北市,文山區,景中,017661,10661,"臺北市文山區景中街5號,七號一樓",02-77095385,02-29334768
全家景文店,,O,臺北市,文山區,景文,022863,10986,臺北市文山區景文街83號,02-77096573,02-29303305
全家景後店,,O,臺北市,文山區,景後,016952,55530,臺北市文山區景後街95號,02-77397325,02-29342042
全家新文華店,,O,臺北市,文山區,新文華,020275,52542,臺北市文山區景華街3巷2號1樓及B1,02-77300713,02-86633877
全家華德店,,O,臺北市,文山區,華德,018245,16972,臺北市文山區景華街75號,02-77096576,02-29356335
全家景富店,,O,臺北市,文山區,景富,021152,51236,臺北市文山區景福街25號,02-77096577,02-89313890
全家萬慶店,,O,臺北市,文山區,萬慶,020805,60805,臺北市文山區景福街230巷1號一樓,02-77523521,02-86631281
全家世景店,,O,臺北市,文山區,世景,018298,58298,臺北市文山區景興路282巷2號壹樓,02-77286345,02-86632846
全家興萬店,,O,臺北市,文山區,興萬,020351,60351,臺北市文山區萬安街29號一樓,02-77302275,02-82301508
全家新福興店,,O,臺北市,文山區,新福興,018412,50509,臺北市文山區福興路65號,02-77136328,02-29301491
全家萬興店,,O,臺北市,文山區,萬興,022670,19475,臺北市文山區興隆路一段55巷27弄1-4號,02-77136329,02-29304220
全家景興店,,O,臺北市,文山區,景興,023866,10770,臺北市文山區興隆路一段249號1樓,02-77230381,02-29304049
全家興園店,,O,臺北市,文山區,興園,019449,10692,臺北市文山區興業里興隆路二段220巷33號,02-77096477,02-29334696
全家興業店,,O,臺北市,文山區,興業,019350,10731,臺北市文山區興隆路二段279號,02-77230379,02-86635963
全家靜興店,,O,臺北市,文山區,靜興,014857,54857,臺北市文山區興隆路二段75號壹樓,02-77292132,02-29356712
全家中科大店,,O,臺北市,文山區,中科大,016916,56916,臺北市文山區興隆路三段36巷9弄10號,02-77464463,02-29333950
全家再興店,,O,臺北市,文山區,再興,014696,14498,臺北市文山區興隆路3段207巷11弄2號,02-77230456,02-22302780
全家萬芳店,,O,臺北市,文山區,萬芳,022061,62061,臺北市文山區興隆路三段112巷2弄1號1樓,02-77095344,02-29348650
全家文山公宅店,,O,臺北市,文山區,文山公宅,019499,59499,臺北市文山區興隆路四段105巷42號木柵大樓1樓,02-77303981,02-86619874
全家興崙店,,O,臺北市,文山區,興崙,021436,11823,臺北市文山區興隆路四段50之1號,02-77230408,02-29397480
全家萬和店,,O,臺北市,文山區,萬和,023527,12870,臺北市文山區羅斯福路五段218巷38弄2號1樓,02-77230431,02-86636168
全家萬福店,,O,臺北市,文山區,萬福,017119,57119,臺北市文山區羅斯福路五段269巷11號,02-77294485,02-29315696
全家羅和店,,O,臺北市,文山區,羅和,021231,56570,臺北市文山區羅斯福路六段146-1號,02-77397545,02-29352655
全家景和店,,O,臺北市,文山區,景和,019599,11705,臺北市文山區羅斯福路六段274號,02-77095387,02-89319847
全家萬里頂社店,,O,新北市,萬里區,萬里頂社,017753,16761,新北市萬里區大鵬里頂社1號,02-77231516,02-24081473
全家野柳新港口店,,O,新北市,萬里區,野柳新港口,023136,19477,新北市萬里區港東路68號,02-77231517,02-24927310
全家金山中山店,,O,新北市,金山區,金山中山,018792,11192,新北市金山區中山路205號,02-77231509,02-24081325
全家金山金美店,,O,新北市,金山區,金山金美,015029,19025,新北市金山區中山路252號,02-77231510,02-24081821
全家金山金中店,,O,新北市,金山區,金山金中,018503,19122,新北市金山區中山路101號,02-77231508,02-24081427
全家金山陽金店,,O,新北市,金山區,金山陽金,020988,60988,新北市金山區中正路149號加(後方停車場),02-77532273,02-24256032
全家板橋振興店,,O,新北市,板橋區,板橋振興,020138,11148,新北市板橋區三民路一段31巷89弄3號,02-77096043,02-89612085
全家板橋富山店,,O,新北市,板橋區,板橋富山,022069,11925,"新北市板橋區三民路一段94號,96號",02-77096045,02-89641541
全家板橋長壽店,,O,新北市,板橋區,板橋長壽,023233,10924,新北市板橋區三民路二段83號,02-77096049,02-29572584
全家板橋正隆店,,O,新北市,板橋區,板橋正隆,021891,15271,新北市板橋區正泰里三民路二段正隆巷34號一樓,02-77096073,02-29578305
全家板橋樂福店,,O,新北市,板橋區,板橋樂福,023494,52970,新北市板橋區三民路二段21巷6號1樓,02-77302140,02-29636100
全家板橋長民店,,O,新北市,板橋區,板橋長民,022398,53534,新北市板橋區三民路二段153巷1-3號1樓&B1,02-77301976,02-29558365
全家板橋天和店,,O,新北市,板橋區,板橋天和,022659,56086,新北市板橋區三民路二段140號1樓,02-77463157,02-29556108
全家板橋居仁店,,O,新北市,板橋區,板橋居仁,023965,61873,新北市板橋區三民路二段243號,02-77303341,02-29596251
全家板橋大勇店,,O,新北市,板橋區,板橋大勇,021921,61921,新北市板橋區大仁街36號,02-,02-22720109
全家板橋大仁店,,O,新北市,板橋區,板橋大仁,023568,10355,新北市板橋區大仁街108之1號,02-77096050,02-29660911
全家板橋興安店,,O,新北市,板橋區,板橋興安,021107,52068,新北市板橋區大觀路二段37巷38號1樓,02-77294383,02-29672852
全家板橋浮州店,,O,新北市,板橋區,板橋浮州,018498,58498,新北市板橋區大觀路二段265巷16號1樓,02-77136214,02-22755855
全家板橋新光店,,O,新北市,板橋區,板橋新光,016230,56230,新北市板橋區中山路一段141-2號1樓,02-77467330,02-29550932
全家板橋新府店,,O,新北市,板橋區,板橋新府,024714,61581,新北市板橋區中山路一段160-6號,02-,02-29510276
全家板橋興隆店,,O,新北市,板橋區,板橋興隆,022272,62039,新北市板橋區中山路二段90巷10號,02-,02-89510091
全家板橋新光仁店,,O,新北市,板橋區,板橋新光仁,014633,51813,新北市板橋區中山路二段25號1-5樓,02-77397630,02-89539335
全家板橋光復店,,O,新北市,板橋區,板橋光復,018986,12224,新北市板橋區中山路二段503號1樓,02-77096055,02-29643847
全家板橋大庭店,,O,新北市,板橋區,板橋大庭,021159,10305,新北市板橋區中正路191號,02-77096056,02-29670325
全家板橋瑞安店,,O,新北市,板橋區,板橋瑞安,023267,52545,新北市板橋區中正路395號1樓,02-77136376,02-29677282
全家板橋美庭店,,O,新北市,板橋區,板橋美庭,021800,16297,新北市板橋區中正路216巷21號、23號1樓,02-77096057,02-29607413
全家板橋香社店,,O,新北市,板橋區,板橋香社,019348,59348,新北市板橋區中正路325巷25號1樓,02-77285938,02-89658681
全家板橋福德店,,O,新北市,板橋區,板橋福德,020183,60183,新北市板橋區中正路254號1樓,02-77300562,02-89697916
全家板橋花園店,,O,新北市,板橋區,板橋花園,016042,56042,新北市板橋區中正路一巷14號1樓,02-77463112,02-29679720
全家板橋勝文店,,O,新北市,板橋區,板橋勝文,016053,16738,新北市板橋區仁化街46號及46之1號1樓,02-77096059,02-82528693
全家板橋文心店,,O,新北市,板橋區,板橋文心,019411,59411,新北市板橋區介壽街20號1樓,02-77289275,02-22562587
全家板橋新埔店,,O,新北市,板橋區,板橋新埔,023175,59020,新北市板橋區文化路一段421巷4號1樓,02-77301358,02-22518500
全家板橋致科店,,O,新北市,板橋區,板橋致科,023573,55455,新北市板橋區文化路一段313號1樓,02-77397181,02-22569453
全家板橋傑仕堡店,,O,新北市,板橋區,板橋傑仕堡,018349,58349,新北市板橋區文化路一段188巷57號1樓(配送用),02-77286803,02-22540391
全家板橋文化店,,O,新北市,板橋區,板橋文化,019605,10469,新北市板橋區文化路一段280號,02-77096063,02-22544632
全家板橋新民店,,O,新北市,板橋區,板橋新民,021888,12770,新北市板橋區文化路一段188巷42號1樓,02-77096062,02-22570742
全家板橋龍江店,,O,新北市,板橋區,板橋龍江,021962,16540,"新北市板橋區文化路二段182巷3弄91,93號1樓",02-77136619,02-82535436
全家板橋立都店,,O,新北市,板橋區,板橋立都,017459,55190,新北市板橋區文化路二段259號1樓,02-77464051,02-22559171
全家板橋國翠店,,O,新北市,板橋區,板橋國翠,023735,63735,新北市板橋區文化路二段396號,02-,02-82527477
全家板橋興盛店,O,,新北市,板橋區,板橋興盛,022206,53484,新北市板橋區文聖街161號1樓,02-77301916,02-82589625
全家板橋川府店,,O,新北市,板橋區,板橋川府,022705,60076,新北市板橋區四川路一段65號1樓,02-77304100,02-29511412
全家板橋新遠店,,O,新北市,板橋區,板橋新遠,020243,51459,新北市板橋區四川路一段371號1樓,02-77137271,02-89539873
全家板橋華德店,,O,新北市,板橋區,板橋華德,022372,52704,新北市板橋區四川路二段47巷3弄4號1樓,02-77462331,02-89676847
全家板橋板川店,,O,新北市,板橋區,板橋板川,020917,53757,新北市板橋區四川路二段245巷7號1樓,02-77463008,02-89674495
全家板橋互維店,,O,新北市,板橋區,板橋互維,016945,56945,新北市板橋區四維路293號1樓,02-77462117,02-22586320
全家板橋勝維店,,O,新北市,板橋區,板橋勝維,021621,57236,新北市板橋區四維路318號1樓,02-77305933,02-82570329
全家板橋宏翠店,,O,新北市,板橋區,板橋宏翠,023901,53606,新北市板橋區四維路100號1樓,02-77462149,02-82572973
全家板橋四維店,,O,新北市,板橋區,板橋四維,022370,10412,新北市板橋區四維路180號,02-77096071,02-22542469
全家板橋廣榮店,,O,新北市,板橋區,板橋廣榮,021272,61272,新北市板橋區民生路一段33號1樓之1,02-77304003,02-29648983
全家板橋金典店,,O,新北市,板橋區,板橋金典,021483,54506,新北市板橋區民生路二段16之1號1樓&夾層,02-77293230,02-29642035
全家板橋文興店,,O,新北市,板橋區,板橋文興,020546,52688,新北市板橋區民生路二段230號1樓,02-77231360,02-22579434
全家板橋金巨蛋店,,O,新北市,板橋區,板橋金巨蛋,023177,50379,新北市板橋區民生路二段250號1樓及b1,02-77096077,02-22573505
全家板橋新金富店,,O,新北市,板橋區,板橋新金富,024100,64100,新北市板橋區民生路三段85號,02-,02-82570768
全家板橋懷治店,,O,新北市,板橋區,板橋懷治,017791,57791,新北市板橋區民治街117號1樓,02-77463646,02-82529989
全家板橋民族店,,O,新北市,板橋區,板橋民族,018267,12383,新北市板橋區民族路61號,02-77096156,02-89510850
全家板橋公館店,,O,新北市,板橋區,板橋公館,019492,59492,新北市板橋區民權路202巷7弄1號1樓,02-77285251,02-29671852
全家板橋聯翠店,,O,新北市,板橋區,板橋聯翠,022550,51998,新北市板橋區光武街22號壹樓,02-77136195,02-22559113
全家板橋宜宅店,,O,新北市,板橋區,板橋宜宅,019169,57479,新北市板橋區合宜路129號1樓,02-77462562,02-29600030
全家板橋祝山店,O,,新北市,板橋區,板橋祝山,017800,19217,新北市板橋區吳鳳路21巷2號1樓,02-77096162,02-22554105
全家板橋和平店,,O,新北市,板橋區,板橋和平,022532,19426,新北市板橋區和平路100號,02-77096163,02-29535609
全家板橋大東店,,O,新北市,板橋區,板橋大東,014811,50303,新北市板橋區府中路127號1樓,02-77096165,02-89698004
全家板橋板農店,,O,新北市,板橋區,板橋板農,002816,12816,新北市板橋區府中路29—1號1樓,02-77096166,02-22723346
全家板橋大隆店,,O,新北市,板橋區,板橋大隆,018096,12968,新北市板橋區福星里忠孝路50號一樓,02-77096302,02-29533231
全家板橋中勝店,,O,新北市,板橋區,板橋中勝,015125,16637,新北市板橋區林園街2號,02-77096170,02-22724924
全家板橋板長店,,O,新北市,板橋區,板橋板長,019603,14462,新北市板橋區板新路97&99號1樓,02-77096169,02-29545602
全家板橋松翠店,,O,新北市,板橋區,板橋松翠,018966,58966,新北市板橋區松江街25號1樓,02-77306910,02-22542581
全家板橋松柏店,,O,新北市,板橋區,板橋松柏,022490,11830,新北市板橋區松柏街13號,02-77096168,02-82520901
全家板橋金鑽店,,O,新北市,板橋區,板橋金鑽,019382,12306,新北市板橋區成和里金門街29號,02-77096488,02-26750923
全家板橋公園店,,O,新北市,板橋區,板橋公園,021623,16452,新北市板橋區金門街206&208號1樓,02-77096489,02-26753572
全家板橋金成店,,O,新北市,板橋區,板橋金成,015351,51401,新北市板橋區金門街313號1樓,02-77096490,02-26855676
全家板橋金市店,,O,新北市,板橋區,板橋金市,019067,59067,新北市板橋區金門街86號1樓(如附圖),02-77163093,02-26757155
全家板橋金園店,,O,新北市,板橋區,板橋金園,023335,63335,新北市板橋區金門街129號一樓,02-,02-26837125
全家板橋白金店,,O,新北市,板橋區,板橋白金,024171,57849,新北市板橋區金門街366號1樓,02-77463785,02-26855960
全家板橋美華店,O,,新北市,板橋區,板橋美華,017911,53042,新北市板橋區金華街10巷48弄78號1樓,02-77301649,02-29657713
全家板橋安東店,,O,新北市,板橋區,板橋安東,016505,19075,新北市板橋區長安街138巷1弄50號1樓,02-77096171,02-29514997
全家板橋永安店,,O,新北市,板橋區,板橋永安,016536,56536,新北市板橋區長安街331巷94號1樓,02-77463573,02-29645603
全家板橋新安店,,O,新北市,板橋區,板橋新安,022380,62380,新北市板橋區長安街297號,02-77304001,02-29513527
全家板橋新巨蛋店,,O,新北市,板橋區,板橋新巨蛋,020870,60870,新北市板橋區長江路一段403號,02-77532351,02-82573052
全家板橋富安店,,O,新北市,板橋區,板橋富安,024135,53294,新北市板橋區長江路一段100號1樓,02-77463283,02-82571724
全家板橋江北店,,O,新北市,板橋區,板橋江北,022533,59088,新北市板橋區長江路二段313號1樓,02-77134156,02-82570100
全家板橋漢江店,,O,新北市,板橋區,板橋漢江,016640,56640,新北市板橋區長江路二段120號1樓,02-77464388,02-22593499
全家板橋干城店,,O,新北市,板橋區,板橋干城,021709,56543,新北市板橋區信義路243號1樓,02-77463773,02-29644958
全家板橋信義店,,O,新北市,板橋區,板橋信義,022687,58838,新北市板橋區信義路71號1樓,02-77309052,02-29536686
全家板橋信陽店,,O,新北市,板橋區,板橋信陽,019385,15970,新北市板橋區信義里信義路72號一樓,02-77096176,02-29506920
全家板橋新雅店,,O,新北市,板橋區,板橋新雅,015046,54736,新北市板橋區南雅東路8號(代表號)1樓,02-77293622,02-29655750
全家板橋大雅店,,O,新北市,板橋區,板橋大雅,017478,57478,新北市板橋區南雅南路二段5號1樓,02-77462351,02-29649724
全家板橋湳雅店,,O,新北市,板橋區,板橋湳雅,020792,60792,新北市板橋區南雅南路二段94號,02-77532306,02-29647980
全家板橋華東店,,O,新北市,板橋區,板橋華東,021496,61496,新北市板橋區南雅南路二段144巷18號,02-77304007,02-89660536
全家板橋英仕店,,O,新北市,板橋區,板橋英仕,015909,55909,新北市板橋區英士路54號1樓,02-77397569,02-22599823
全家板橋慶豐店,,O,新北市,板橋區,板橋慶豐,020568,54925,新北市板橋區重慶路278號1樓,02-77294266,02-89535147
全家板橋擎天店,,O,新北市,板橋區,板橋擎天,023567,58220,新北市板橋區重慶路243號1樓,02-77463007,02-29558982
全家板橋新慶店,,O,新北市,板橋區,板橋新慶,019675,18966,新北市板橋區重慶路60-1號1樓&地下室,02-77096180,02-29511914
全家板橋板慶店,,O,新北市,板橋區,板橋板慶,017433,51081,新北市板橋區重慶路290巷3號1樓,02-77096179,02-89539805
全家板橋運山店,,O,新北市,板橋區,板橋運山,015143,16384,新北市板橋區海山路33號,02-77096181,02-89647745
全家板橋國泰店,O,,新北市,板橋區,板橋國泰,016122,18756,新北市板橋區國泰街37號1樓,02-77096182,02-29596571
全家板橋莒安店,,O,新北市,板橋區,板橋莒安,019920,11889,新北市板橋區莒光路131號,02-77095748,02-82536711
全家板橋莒光店,,O,新北市,板橋區,板橋莒光,021553,10753,"新北市板橋區莒光路225,227號",02-77095693,02-22593060
全家板橋益豐店,,O,新北市,板橋區,板橋益豐,022557,54431,新北市板橋區莒光路36號1樓,02-77464133,02-22577224
全家板橋禾原店,,O,新北市,板橋區,板橋禾原,020791,60791,新北市板橋區莒光路28巷13號,02-77532326,02-22587428
全家板橋莊敬店,,O,新北市,板橋區,板橋莊敬,023268,62777,新北市板橋區莊敬路89號,02-,02-22599622
全家板橋萬板店,,O,新北市,板橋區,板橋萬板,015192,55192,新北市板橋區莊敬路220巷1號1樓,02-77464129,02-22546290
全家板橋新富陽店,,O,新北市,板橋區,板橋新富陽,022426,62426,新北市板橋區復興街133號,02-,02-22750133
全家板橋華利店,,O,新北市,板橋區,板橋華利,023220,63220,新北市板橋區華江一路156號,02-,02-22541201
全家板橋華雅店,,O,新北市,板橋區,板橋華雅,016537,56537,新北市板橋區華興街90號,02-77463575,02-29551279
全家板橋華興店,,O,新北市,板橋區,板橋華興,021249,10019,新北市板橋區華興街41.43號,02-77096187,02-29524563
全家板橋貴興店,,O,新北市,板橋區,板橋貴興,023178,58555,新北市板橋區貴興路49-1號1樓,02-77136349,02-29597811
全家板橋華陽店,,O,新北市,板橋區,板橋華陽,018488,15566,新北市板橋區陽明里陽明街88、90號一樓,02-77096188,02-22585156
全家板橋板民店,,O,新北市,板橋區,板橋板民,022271,14454,新北市板橋區新民街39號1樓,02-77096189,02-29545946
全家板橋新甫華店,,O,新北市,板橋區,板橋新甫華,023733,63582,新北市板橋區新生街22號,02-,02-22725443
全家板橋富貴店,,O,新北市,板橋區,板橋富貴,022865,10718,"新北市板橋區新海路462,464,466號1樓",02-77096193,02-22599157
全家板橋新農店,,O,新北市,板橋區,板橋新農,023176,10841,"新北市板橋區新海路328,330號1樓",02-77096192,02-22538884
全家板橋欣興店,,O,新北市,板橋區,板橋欣興,018911,54171,新北市板橋區新興路1號1樓,02-77301210,02-29654269
全家板橋板崑店,,O,新北市,板橋區,板橋板崑,021339,61339,新北市板橋區溪崑二街16號,02-77533617,02-26865706
全家板橋溪崑店,,O,新北市,板橋區,板橋溪崑,022539,12817,新北市板橋區溪崑二街134、136、138號1樓,02-77136509,02-26876563
全家板橋裕盛店,,O,新北市,板橋區,板橋裕盛,024027,11791,新北市板橋區裕民街95號,02-77095750,02-22581579
全家板橋新裕店,,O,新北市,板橋區,板橋新裕,023459,60824,新北市板橋區裕民街130號1及2樓,02-77532308,02-82571571
全家板橋富裕店,,O,新北市,板橋區,板橋富裕,021123,57950,新北市板橋區裕民街11號1樓,02-77462477,02-82529995
全家板橋僑一店,,O,新北市,板橋區,板橋僑一,017023,19427,新北市板橋區僑中一街124巷9弄1號,02-77096197,02-29679685
全家板橋僑二店,O,,新北市,板橋區,板橋僑二,023091,52946,新北市板橋區僑中二街116巷1號1樓,02-77463103,02-89699174
全家板橋國民店,,O,新北市,板橋區,板橋國民,021503,14465,新北市板橋區實踐路132號1樓,02-77096199,02-29572609
全家板橋漢西店,,O,新北市,板橋區,板橋漢西,023019,63019,新北市板橋區文化路一段313號,02-,02-22548179
全家板橋新都店,,O,新北市,板橋區,板橋新都,015357,55357,新北市板橋區漢生東路159號1樓,02-77300907,02-29649535
全家板橋遠東店,,O,新北市,板橋區,板橋遠東,023685,63685,新北市板橋區遠東路1號1樓,02-,02-29642052
全家板橋廣和店,,O,新北市,板橋區,板橋廣和,022511,16066,新北市板橋區廣福里廣和街79號1樓,02-77096303,02-89518657
全家板橋宜居店,,O,新北市,板橋區,板橋宜居,017951,57951,新北市板橋區樂群路158號1樓,02-77462596,02-89697435
全家板橋堂春店,,O,新北市,板橋區,板橋堂春,021539,14317,新北市板橋區篤行路三段1號1樓,02-77096493,02-26835266
全家板橋雙城店,,O,新北市,板橋區,板橋雙城,022866,14459,新北市板橋區縣民大道二段106號1樓,02-77096305,02-29544584
全家板橋北站店,,O,新北市,板橋區,板橋北站,021908,58565,新北市板橋區縣民大道二段7號,02-77136634,02-29657973
全家板橋東站店,,O,新北市,板橋區,板橋東站,021664,58566,新北市板橋區縣民大道二段7號,02-77137211,02-29650450
全家板橋車站店,,O,新北市,板橋區,板橋車站,022261,58691,新北市板橋區縣民大道二段7號B1,02-77287120,02-89693201
全家板橋雙子店,,O,新北市,板橋區,板橋雙子,022390,54922,新北市板橋區縣民大道二段66號1樓,02-77293618,02-29649816
全家板橋市民店,,O,新北市,板橋區,板橋市民,021115,61115,新北市板橋區縣民大道二段22號B1,02-77533606,02-29641484
全家板橋觀光店,,O,新北市,板橋區,板橋觀光,019172,59172,新北市板橋區縣民大道二段196號1樓,02-77286692,02-29550575
全家板橋麗寶店,,O,新北市,板橋區,板橋麗寶,019303,59303,新北市板橋區縣民大道二段3號,02-77094661,02-89682022
全家板橋聚星店,,O,新北市,板橋區,板橋聚星,023546,52992,新北市板橋區館前西路4號、4-1號1樓,02-77302558,02-29539549
全家板橋館西店,,O,新北市,板橋區,板橋館西,021091,50787,新北市板橋區館前西路128號,02-77096306,02-29655570
全家板橋新泉店,,O,新北市,板橋區,板橋新泉,023612,51335,新北市板橋區龍泉街126號,02-82573290,02-82573744
全家板橋德翠店,,O,新北市,板橋區,板橋德翠,022494,62192,新北市板橋區龍泉街78號,02-77303422,02-82573511
全家板橋美堤店,,O,新北市,板橋區,板橋美堤,023090,12964,新北市板橋區龍興街71巷1號1樓,02-77096308,02-29682151
全家板橋新月店,,O,新北市,板橋區,板橋新月,021398,61398,新北市板橋區環河西路五段217號,02-77533621,02-29686480
全家板橋雙十店,,O,新北市,板橋區,板橋雙十,021480,10036,"新北市板橋區雙十路二段6—8號,6—9號,6—10",02-77096309,02-22546231
全家板橋華江店,,O,新北市,板橋區,板橋華江,019559,10176,新北市板橋區雙十路三段54號,02-77095749,02-22554256
全家板橋江翠店,,O,新北市,板橋區,板橋江翠,023626,10685,新北市板橋區懷德街127巷1號及3號1F,02-77096311,02-22525104
全家板橋懷聖店,O,,新北市,板橋區,板橋懷聖,022260,18653,新北市板橋區懷德街201巷2號,02-77096312,02-22505214
全家板橋新翠店,,O,新北市,板橋區,板橋新翠,018350,53191,新北市板橋區懷德街127巷23弄7號1樓,02-77462478,02-22544470
全家汐止力行店,,O,新北市,汐止區,汐止力行,024141,11666,新北市汐止區力行街1號,02-77230686,02-26401386
全家汐止茂盛店,,O,新北市,汐止區,汐止茂盛,017139,57139,新北市汐止區大同路一段225號壹樓,02-77294491,02-26413633
全家汐止智興店,,O,新北市,汐止區,汐止智興,022111,56299,新北市汐止區大同路二段200號,02-77463175,02-26490742
全家汐止龍安店,,O,新北市,汐止區,汐止龍安,022029,11124,新北市汐止區大同路二段184巷11號,02-77230688,02-26490723
全家汐止宏國店,,O,新北市,汐止區,汐止宏國,015955,14405,新北市汐止區大同路2段283號,02-77230687,02-86923110
全家汐止大同店,,O,新北市,汐止區,汐止大同,019784,10475,"新北市汐止區大同路三段269,271號",02-77230690,02-86486545
全家汐止經貿店,,O,新北市,汐止區,汐止經貿,023023,19770,新北市汐止區大同路三段190號壹樓部份,02-77230689,02-86473139
全家汐止摩天店,,O,新北市,汐止區,汐止摩天,023088,52270,新北市汐止區大同路三段611之3號壹樓,02-77179068,02-26905548
全家汐止農會店,,O,新北市,汐止區,汐止農會,022477,12725,新北市汐止區中正路106號1樓,02-77230691,02-86916715
全家汐止興中店,O,,新北市,汐止區,汐止興中,020039,53674,新北市汐止區中興路158號,02-77463865,02-86933681
全家汐止福全店,,O,新北市,汐止區,汐止福全,024824,18935,新北市汐止區仁愛路149號,02-77230692,02-26479466
全家汐止桂冠店,,O,新北市,汐止區,汐止桂冠,020638,11238,新北市汐止區水源路二段34號,02-77230693,02-26474855
全家汐止橫科店,,O,新北市,汐止區,汐止橫科,020924,60924,新北市汐止區民權街二段68號1樓,02-77532275,02-27198993
全家汐止興萬店,,O,新北市,汐止區,汐止興萬,022417,62417,新北市汐止區汐萬路一段355號壹樓,02-,02-26464086
全家汐止伯爵店,,O,新北市,汐止區,汐止伯爵,020718,19026,新北市汐止區伯爵街52巷1號壹樓部份,02-77230696,02-26474757
全家汐止勤進店,,O,新北市,汐止區,汐止勤進,023607,63607,新北市汐止區秀峰路119號,02-,02-26494650
全家汐止和平店,,O,新北市,汐止區,汐止和平,018090,53124,新北市汐止區和平街48號,02-77462139,02-26439807
全家汐止鑫宜興店,,O,新北市,汐止區,汐止鑫宜興,024055,62898,新北市汐止區宜興街16號,02-,02-26606803
全家汐止橋東店,O,,新北市,汐止區,汐止橋東,016049,50079,新北市汐止區忠孝東路402號,02-77230700,02-86475279
全家汐止新忠孝店,,O,新北市,汐止區,汐止新忠孝,016496,14186,新北市汐止區忠孝東路258號,02-77230699,02-26919701
全家汐止秀峰店,,O,新北市,汐止區,汐止秀峰,023480,14430,新北市汐止區忠孝東路228號,02-77230698,02-26919425
全家汐止鑫峰店,,O,新北市,汐止區,汐止鑫峰,022795,51476,新北市汐止區明峰街162號,02-77137255,02-26953467
全家汐止車站店,,O,新北市,汐止區,汐止車站,022695,62695,新北市汐止區信義路1號2樓,02-,02-26494180
全家汐止保興店,,O,新北市,汐止區,汐止保興,018582,56132,新北市汐止區保一街39號,02-77337813,02-86489793
全家汐止站前店,,O,新北市,汐止區,汐止站前,023487,14552,新北市汐止區南昌街16號,02-77230701,02-86923096
